Change Timestamp,Variable,New Value
2026-03-20T19:13:26Z,toolnum,6
2026-03-20T19:13:26Z,program,CDSDRYRUN
2026-03-20T19:13:27Z,xpostn,-43.049
2026-03-20T19:13:27Z,ypostn,-46.298
2026-03-20T19:13:27Z,zpostn,-0.5
2026-03-20T19:13:27Z,xlod,12
2026-03-20T19:13:27Z,ylod,8
2026-03-20T19:13:27Z,zlod,44
2026-03-20T19:13:27Z,fact,9.382958
2026-03-20T19:13:27Z,toolnum,6
2026-03-20T19:13:27Z,program,CDSDRYRUN
2026-03-20T19:13:28Z,xpostn,-32.6331
2026-03-20T19:13:28Z,ypostn,-46.298
2026-03-20T19:13:28Z,zpostn,-0.5
2026-03-20T19:13:28Z,xlod,12
2026-03-20T19:13:28Z,ylod,8
2026-03-20T19:13:28Z,zlod,44
2026-03-20T19:13:28Z,fact,9.382958
2026-03-20T19:13:28Z,toolnum,6
2026-03-20T19:13:28Z,program,CDSDRYRUN
2026-03-20T19:13:29Z,xpostn,-21.95015
2026-03-20T19:13:29Z,ypostn,-46.298
2026-03-20T19:13:29Z,zpostn,-0.5
2026-03-20T19:13:29Z,xlod,12
2026-03-20T19:13:29Z,ylod,8
2026-03-20T19:13:29Z,zlod,44
2026-03-20T19:13:29Z,fact,9.382958
2026-03-20T19:13:29Z,toolnum,6
2026-03-20T19:13:29Z,program,CDSDRYRUN
2026-03-20T19:13:30Z,xpostn,-11.5343
2026-03-20T19:13:30Z,ypostn,-46.298
